Table,Unit,Variety,Year,Attribute,Value
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Minnesota,23
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Missouri,23
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Nebraska,26
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,North Dakota,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Ohio,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,South Dakota,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Texas,21
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Wisconsin,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,Other States,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2009,U.S.,17
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Illinois,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Indiana,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Iowa,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Kansas,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Michigan,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Minnesota,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Missouri,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Nebraska,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,North Dakota,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Ohio,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,South Dakota,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Texas,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Wisconsin,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,Other States,21
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2010,U.S.,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Illinois,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Indiana,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Iowa,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Kansas,28
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Michigan,11
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Minnesota,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Missouri,27
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Nebraska,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,North Dakota,26
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Ohio,24
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,South Dakota,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Texas,22
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Wisconsin,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,Other States,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2011,U.S.,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Illinois,14
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Indiana,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Iowa,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Kansas,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Michigan,8
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Minnesota,19
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Missouri,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Nebraska,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,North Dakota,17
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Ohio,13
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,South Dakota,9
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Texas,20
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Wisconsin,10
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,Other States,18
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2012,U.S.,15
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Illinois,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Indiana,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Iowa,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Kansas,7
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Michigan,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Minnesota,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Missouri,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Nebraska,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,North Dakota,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Ohio,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,South Dakota,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Texas,16
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Wisconsin,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,Other States,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2013,U.S.,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Illinois,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Indiana,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Iowa,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Kansas,5
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Michigan,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Minnesota,2
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Missouri,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Nebraska,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,North Dakota,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Ohio,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,South Dakota,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Texas,12
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Wisconsin,3
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,Other States,6
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2014,U.S.,4
Genetically engineered (GE) corn varieties,Percent of corn planted,Insect-resistant (Bt) only                                           ,2015,Illinois,1
