"SAGDP9N Real GDP by state 1/"
"Real GDP by state: Agriculture, forestry, fishing and hunting (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"54000","West Virginia",285.9,285.1,270.3,336.3,362.5,294.2,308.7,364.6,394.8,379.7,271.6,309.6,326.8,297.2,304.2,264.6,317.5,354.3,386.3,392.4,450.9,424.7,448.6
"55000","Wisconsin",3575.0,4098.5,4189.6,4021.1,4598.9,4674.2,4767.3,5132.6,5300.0,5501.0,5345.5,4678.2,4440.7,5126.3,5355.0,4945.8,5276.7,6047.8,6745.8,6608.0,6403.2,6682.7,7182.4
"56000","Wyoming",548.3,436.2,583.2,609.9,646.1,523.8,645.4,586.0,652.6,681.6,437.0,553.9,693.3,701.6,819.7,562.4,700.0,810.4,913.4,966.7,875.3,976.9,1084.4
"91000","New England",2496.0,2641.7,3013.0,3545.5,3552.0,3481.5,3378.2,3280.7,3551.2,3821.9,3207.9,3283.3,3526.6,3593.1,3038.7,3017.7,2882.1,2811.7,3145.9,3123.9,3101.2,3007.8,3337.7
"92000","Mideast",6524.1,7303.5,7943.4,9604.9,9214.9,8316.1,8933.2,9679.7,10791.6,11110.3,9289.6,9460.9,10193.8,10079.3,9100.9,8863.5,9817.5,11110.6,10754.2,10838.3,11767.1,11161.6,12593.6
"93000","Great Lakes",17879.0,16504.6,14306.8,17076.0,16964.6,18233.6,19858.9,23206.8,19609.1,23433.2,22055.9,24646.6,25546.2,24117.6,27130.3,21993.6,31693.4,28486.9,25162.8,29043.3,28864.3,32183.3,28359.2
"94000","Plains",25585.4,23155.2,19103.4,23467.2,22183.7,25113.4,31207.7,35095.5,35168.0,34920.5,34242.4,41781.1,45562.7,42434.7,46916.2,44823.2,51368.3,48059.0,48297.1,51430.8,46659.3,51255.5,51881.5
"95000","Southeast",34786.3,34561.1,35716.7,41371.9,40855.7,35980.5,38492.4,41758.4,44156.2,43899.2,34510.8,33590.1,39634.1,34944.8,28869.9,30471.5,37322.5,35917.2,41049.1,40423.2,43364.7,42393.1,38988.7
"96000","Southwest",13555.9,13409.7,16245.1,17465.1,16167.3,18871.7,19404.5,20476.5,21250.5,19225.0,16575.4,13825.0,14005.8,18805.0,15636.2,14595.4,17235.0,18585.4,24148.4,22999.9,22987.6,23833.7,23723.3
"97000","Rocky Mountain",6445.9,6853.8,7676.5,8154.0,8659.2,8564.8,7927.1,9031.8,10028.4,9796.1,9221.3,9269.7,9838.8,10048.0,9752.5,9119.4,10004.3,11244.5,12833.4,13793.4,11492.9,13324.0,15623.4
"98000","Far West",32673.7,32025.1,36228.2,40327.5,37774.8,42467.5,44531.9,45229.4,51015.8,52589.4,47118.8,44213.7,51319.8,49519.7,45963.0,46687.6,49050.3,55389.0,61396.0,66822.3,64753.6,66002.9,68707.5
"Legend / Footnotes:"
"1/ Real GDP is in millions of chained 2012 dollars. Industry detail is based on the 2012 North American Industry Classification System (NAICS). Calculations are performed on unrounded data. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The difference between the United States and sum-of-states reflects federal military and civilian activity located overseas, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"Last updated: October 2, 2020-- revised statistics for 1997-2019."
